Date	Netherlands	Greece
5/27/1994	450.384	391.835
5/30/1994	451.504	386.3
5/31/1994	450.447	393.776
6/1/1994	449.173	399.222
6/2/1994	451.286	397.242
6/3/1994	453.743	396.819
6/6/1994	458.431	401.195
6/7/1994	454.652	393.216
6/8/1994	454.949	387.35
6/9/1994	454.915	384.005
6/10/1994	457.979	381.364
6/13/1994	453.411	377.443
6/14/1994	454.25	388.904
6/15/1994	454.413	388.682
6/16/1994	450.07	387.107
6/17/1994	447.317	387.254
6/20/1994	435.113	387.254
6/21/1994	428.765	388.247
6/22/1994	433.702	381.078
6/23/1994	440.005	384.826
6/24/1994	433.437	389.491
6/27/1994	426.913	392.188
6/28/1994	429.454	390.44
6/29/1994	429.792	387.366
6/30/1994	431.233	389.85
7/1/1994	432.331	384.428
7/4/1994	435.476	383.801
7/5/1994	436.978	390.836
7/6/1994	432.514	392.091
7/7/1994	433.581	389.771
7/8/1994	433.397	390.372
7/11/1994	433.676	386.011
7/12/1994	428.208	383.124
7/13/1994	431.146	378.562
7/14/1994	433.356	381.809
7/15/1994	437.425	382.002
7/18/1994	437.878	384.272
7/19/1994	444.461	379.582
7/20/1994	445.542	383.09
7/21/1994	447.339	381.515
7/22/1994	451.013	381.13
7/25/1994	451.295	381.933
7/26/1994	450.762	383.55
7/27/1994	448.992	390.095
7/28/1994	451.533	388.487
7/29/1994	455.778	388.306
8/1/1994	459.113	396.816
8/2/1994	465.211	405.092
8/3/1994	465.321	412.08
8/4/1994	464.324	413.225
8/5/1994	463.816	414.248
8/8/1994	466.276	412.36
8/9/1994	461.419	408.718
8/10/1994	460.886	405.925
8/11/1994	459.211	407.616
8/12/1994	455.599	410.381
8/15/1994	456.747	410.381
8/16/1994	458.462	415.08
8/17/1994	458.192	411.828
8/18/1994	454.058	402.56
8/19/1994	452.375	401.361
8/22/1994	449.451	401.786
8/23/1994	451.99	402.221
8/24/1994	455.564	398.277
8/25/1994	460.537	397.242
8/26/1994	465.41	394.257
8/29/1994	471.018	394.837
8/30/1994	467.827	390.251
8/31/1994	468.254	391.103
9/1/1994	465.303	391.191
9/2/1994	467.603	393.643
9/5/1994	466.79	391.777
9/6/1994	463.117	388.89
9/7/1994	464.446	389.825
9/8/1994	464.834	388.113
9/9/1994	460.725	388.727
9/12/1994	459.309	385.484
9/13/1994	459.271	384.548
9/14/1994	456.346	386.638
9/15/1994	457.51	387.887
9/16/1994	453.769	392.049
9/19/1994	451.467	397.688
9/20/1994	446.228	397.81
9/21/1994	444.915	393.096
9/22/1994	442.185	393.223
9/23/1994	444.981	391.759
9/26/1994	443.055	389.594
9/27/1994	442.722	387.015
9/28/1994	446.579	387.459
9/29/1994	446.084	391.009
9/30/1994	445.576	391.727
10/3/1994	444.277	391.988
10/4/1994	444.753	396.43
10/5/1994	435.788	403.989
10/6/1994	436.117	407.256
10/7/1994	439.002	404.968
10/10/1994	445.822	399.897
10/11/1994	451.129	400.329
10/12/1994	449.725	398.936
10/13/1994	454.773	397.915
10/14/1994	454.664	395.147
10/17/1994	454.069	392.179
10/18/1994	450.839	390.785
10/19/1994	448.986	390.707
10/20/1994	447.965	387.902
10/21/1994	444.571	388.927
10/24/1994	445.241	392.659
10/25/1994	441.571	388.193
10/26/1994	443.377	384.144
10/27/1994	447.726	384.811
10/28/1994	456.2	384.811
10/31/1994	461.531	381.898
11/1/1994	456.47	380.341
11/2/1994	451.131	387.074
11/3/1994	456.2	387.243
11/4/1994	457.078	390.88
11/7/1994	453.154	387.41
11/8/1994	452.821	388.916
11/9/1994	456.802	382.345
11/10/1994	454.754	380.393
11/11/1994	451.811	385.273
11/14/1994	453.604	384.23
11/15/1994	456.375	385.072
11/16/1994	455.843	389.247
11/17/1994	454.994	386.509
11/18/1994	452.569	385.605
11/21/1994	454.999	382.43
11/22/1994	449.275	382.648
11/23/1994	443.422	385.043
11/24/1994	448.054	384.347
11/25/1994	447.925	385.541
11/28/1994	449.975	389.313
11/29/1994	450.967	392.97
11/30/1994	454.768	399.639
12/1/1994	451.751	396.202
12/2/1994	453.694	403.462
12/5/1994	455.539	410.77
12/6/1994	453.044	411.501
12/7/1994	451.273	411.006
12/8/1994	451.074	411.081
12/9/1994	448.048	409.632
12/12/1994	446.984	414.897
12/13/1994	450.066	413.463
12/14/1994	450.61	414.94
12/15/1994	452.413	415.587
12/16/1994	453.086	410.085
12/19/1994	455.328	407.762
12/20/1994	455.699	412.454
12/21/1994	458.428	412.12
12/22/1994	459.781	412.374
12/23/1994	458.124	413.222
12/26/1994	458.124	413.222
12/27/1994	462.939	411.776
12/28/1994	460.861	408.516
12/29/1994	459.704	409.718
12/30/1994	459.704	411.923
1/2/1995	460.828	413.193
1/3/1995	459.868	416.986
1/4/1995	460.748	418.266
1/5/1995	456.898	418.814
1/6/1995	457.848	418.814
1/9/1995	457.931	415.304
1/10/1995	455.599	411.525
1/11/1995	455.135	410.031
1/12/1995	453.102	410.205
1/13/1995	455.391	402.561
1/16/1995	458.16	398.367
1/17/1995	455.753	394.493
1/18/1995	456.598	389.717
1/19/1995	455.707	390.829
1/20/1995	452.588	394.712
1/23/1995	449.324	395.593
1/24/1995	453.644	394.838
1/25/1995	452.844	392.674
1/26/1995	456.302	394.161
1/27/1995	458.901	390.848
1/30/1995	458.638	385.31
1/31/1995	454.623	383.214
2/1/1995	457.327	383.137
2/2/1995	455.54	388.674
2/3/1995	458.542	385.47
2/6/1995	459.38	380.152
2/7/1995	459.768	379.402
2/8/1995	459.508	373.18
2/9/1995	460.382	375.594
2/10/1995	461.488	380.256
2/13/1995	460.779	392.889
2/14/1995	460.198	399.293
2/15/1995	459.259	400.083
2/16/1995	456.523	396.33
2/17/1995	457.975	394.722
2/20/1995	456.256	391.015
2/21/1995	456.438	392.873
2/22/1995	455.652	390.623
2/23/1995	457.767	391.118
2/24/1995	455.279	392.425
2/27/1995	452.986	389.849
2/28/1995	450.845	389.784
3/1/1995	452.088	390.3
3/2/1995	452.236	388.875
3/3/1995	448.335	387.385
3/6/1995	444.835	387.385
3/7/1995	441.212	389.063
3/8/1995	439.598	386.147
3/9/1995	437.505	384.134
3/10/1995	440.166	385.578
3/13/1995	438.509	385.225
3/14/1995	441.176	379.811
3/15/1995	439.607	376.272
3/16/1995	438.484	374.704
3/17/1995	439.59	374.672
3/20/1995	442.261	376.394
3/21/1995	441.78	383.248
3/22/1995	440.531	387.587
3/23/1995	435.861	385.985
3/24/1995	438.55	386.253
3/27/1995	440.243	383.936
3/28/1995	438.684	383.156
3/29/1995	438.586	382.373
3/30/1995	446.827	392.56
